epoch,iteration,lr,train_loss_loc,train_loss_conf,train_loss_total,val_loss_loc,val_loss_conf,val_loss_total
1,50,0.001,4.192673020362854,2.724540810585022,6.917213830947876,3.687834930419922,2.3023517608642576,5.99018669128418
2,100,0.001,3.5646821069717407,2.073974347114563,5.638656454086304,3.523226563135783,1.9313024441401163,5.4545290072759
3,150,0.001,3.5669588613510133,1.9743257236480714,5.541284584999085,3.413622188568115,1.9343965768814086,5.348018765449524
4,200,0.001,3.1271839237213133,1.8713786816596985,4.998562605381012,3.026828988393148,1.882418974240621,4.909247962633769
5,250,0.001,2.961888003349304,1.8397130131721497,4.801601016521454,2.968241898218791,1.746191136042277,4.714433034261068
6,300,0.001,2.8951769351959227,1.746733739376068,4.6419106745719905,3.1816254456837973,1.7687753915786744,4.950400837262472
7,350,0.001,2.7155078887939452,1.7392625832557678,4.454770472049713,2.786512851715088,1.7022355635960897,4.488748415311178
8,400,0.001,2.6318644070625306,1.6667366409301758,4.298601047992706,2.534160772959391,1.6595266262690227,4.193687399228414
9,450,0.001,2.526693572998047,1.6407565379142761,4.167450110912323,2.528426257769267,1.6301167249679565,4.158542982737224
10,500,0.001,2.398266627788544,1.5968179655075074,3.9950845932960513,2.4514575719833376,1.6805781364440917,4.132035708427429
11,550,0.001,2.2262678384780883,1.557912917137146,3.7841807556152345,2.297199289004008,1.5779796759287517,3.8751789649327595
12,600,0.001,2.1800060486793518,1.5144078588485719,3.694413907527924,2.2102986256281536,1.5714731216430664,3.78177174727122
13,650,0.001,2.047868435382843,1.486182918548584,3.534051353931427,2.180048187573751,1.5408670743306478,3.720915261904399
14,700,0.001,2.0118762755393984,1.4561129546165466,3.467989230155945,2.1829289038976034,1.5092660188674927,3.692194922765096
15,750,0.001,1.9795665335655213,1.4361437892913818,3.415710322856903,1.9753228505452474,1.4544058879216513,3.4297287384668986
16,800,0.001,1.9173181414604188,1.438311641216278,3.3556297826766968,1.8618862787882486,1.464998722076416,3.3268850008646647
